Judul,Penulis,Dosen Pembimbing I,Dosen Pembimbing II,Abstrak
Gerak Pekerja Pada Game Real Time Strategy Menggunakan Finite State Machine,Adi Chandra Laksono,"Kurniawan Eka P, S.Kom., Msc","Arik Kurniawati, S.Kom., M.T.","Gerak pekerja ada pada game yang memiliki genre RTS (Real-Time Strategy). Gerak pekerja memiliki berbagai macam gerak. Oleh sebab itu dibutuhkan sebuah pendekatan konsep AI  untuk mendesain perilaku pekerja tersebut. Perilaku karakter tersebut harus ditambahi dengan AI (Artifical intelegent) agar perilakunya menjadi lebih hidup dan realistis.
Dalam penelitian ini AI yang digunakan adalah Finite State Machine. Finite State Machine digunakan untuk menentukan gerak pekerja terhadap parameter-parameter yang digunakan sebagai dasar gerak yang akan dilakukan . Selanjutnya akan disimulasikan pada game RTS dengan menggunakan game engine.
Hasil yang di peroleh dalam penelitian ini adalah penerapan metode Finite State machine untuk menentukan gerak pekerja berdasarkan parameter jumlah harta, prajurit, kondisi bangunan, dan stockpile (jumlah resources yang di bawa). 

Kata kunci : Game, Real-Time Strategy, Gerak Pekerja, Finite State Machine."
RANCANG BANGUN GAME PERAWATAN SAPI KARAPAN MENGGUNAKAN METODE FUZZY LOGIC,NURRACHMAT,"Arik Kurniawati, S.Kom., M.T.","Kurniawan Eka Permana, S.Kom., MSc.","Perkembangan game yang semakin pesat, memberikan berbagai alternative bagi peminatnya. Mulai dari bentuk game, cerita maupun media penyajian. Keberadaan game yang menggambarkan budaya Indonesia khususnya daerah kepulauan seperti Madura terhitung sedikit, sehingga dapat dirasa semakin lunturnya kebudayaan Indonesia bagi anak bangsa. Adanya peminat game yang semakin banyak dapat digunakan sebagai sarana pengenalan budaya asli Madura. Sebuah aplikasi game tentang olahraga yang sangat digemari di pulau Madura tersebut seperti Kerapan Sapi adalah sangatlah penting. Untuk itu perlu dibangun aplikasi game kerapan sapi sebagai upaya pelestarian budaya bangsa khususnya pulau Madura. Dengan upaya pembuatan game budaya maka dibangun  game perawatan sapi karapan menggunakan metode logika fuzzy (fuzzy logic), dengan menginputkan parameter kekuatan dan kesehatan sapi karapan untuk menentukan harga jual sapi karapan dalam sebuah game perawatan sapi karapan.
Kata kunci : game, kerapan sapi, perawatan sapi kerapan, budaya madura."
EKSTRAKSI FITUR BERBASIS TWO DIMENSIONAL LINEAR DISCRIMINANT ANALYSIS  UNTUK PENGENALAN WAJAH,Muhammad Choirur Rozi,"Dr. Arif Muntasa, S.Si.,M.T","Fitri Damayanti, S.Kom.,M.kom","Sistem pengenalan wajah adalah suatu sistem untuk mengenali identitas diri dari seseorang melalui wajah manusia. Teknologi ini mengidentifikasi bagian tubuh manusia yang unik dan tetap seperti wajah manusia. Hal khusus di bidang identifikasi dan pengenalan wajah manusia memanfaatkan pengolahan dan juga analisis citra wajah, yang akan berperan penting dalam proses pengenalan wajah manusia. Sistem ini dapat di manfaatkan dalam suatu sistem keamanan di bidang biometrika. Pada penelitian ini telah di bangun suatu perangkat lunak pengenalan citra wajah manusia menggunakan metode Two Dimensional Linear Discriminant Analysis (2DLDA) untuk menentukan karakteristik dari wajah manusia. Sedangkan pada tahap pengklasifikasian digunakan metode Angular Separation untuk mengukur kemiripan antara data pelatihan (training) dan data uji coba (testing). Melalui proses testing gambar wajah ini dapat di ketahui identitas diri dari seseorang. Dari uji coba aplikasi menggunakan klasifikasi Angular Separation di peroleh akurasi pengenalan benar sebesar  94.5%, pada  lima pose citra wajah pelatihan  dan lima pose citra wajah uji coba (testing) dengan jumlah data masing - masing dua ratus citra wajah manusia yang di ambil dari database ORL dengan menggunakan sepuluh eigen.

Kata kunci : Sistem pengenalan wajah, Two Dimensional Linear Discriminant Analysis, Angular Separation."
IMPLEMENTASI  ALGORITMA PRIM  DAN DEPTH FIRST SEARCH PADA PEMBUATAN MAZE GAME BERBASIS ANDROID OS MOBILE,M Khoiril Anwar,"Cucun Very Angkoso, S.T., M.T.","Arik Kurniawati S. Kom., M.T.","Teknologi mobile game beroperating system open source berkembang dengan sangat pesat. Karena keragaman variasinya, mobile game memiliki banyak peminat dari berbagai kalangan. Hal inilah yang menjadi dasar bagi para pengembang untuk terus mengembangkan mobile game. 
Pada penelitian ini, sebuah mobile game untuk mengasah kemampuan berfikir telah dikembangkan dengan mengimplementasikan algoritma Prim dan Depth First Search. Dalam pembuatannya, algoritma Prim diterapkan pada saat pembuatan lintasan dari maze sedangkan algoritma Depth First Search diterapkan pada saat melakukan proses pencarian solusinya.
Dari hasil pengujian dapat disimpulkan bahwa algoritma Prim dan Depth First Search dapat berfungsi dengan baik pada resolusi screen 320 x 480 pixels dalam pembentukan lintasan dan pencarian solusi dari maze.
Kata kunci : Mobile Game, Android, Algoritma Prim, Algoritma Depth First Search."
SISTEM INFORMASI PERUSAHAAN OTOBUS SUMBER KENCONO BERBASIS  WEB,Elky Lilik Misdayani,"Fitri Damayanti,S.Kom,M.Kom",,"Sistem informasi pengolahan data yang dibutuhkan oleh sebuah organisasi dipergunakan untuk tujuan pengumpulan, pengolahan, penyimpanan dan melihat kembali data itu sendiri. Dengan menggunakan Sistem Informasi Perusahaan Otobus  Sumber Kencono proses pencatatan yang dilakukan oleh masing â masing petugas dengan sesuai kebutuhan dapat di selesaikan dengan lebih cepat, tepat dan lengkap dengan hasil akhir yang dapat menginputkan data kerusakan bus, penginputan gaji crew, jadwal keberangkatan bus, informasi lerling crew serta tarif yang diberlakukan oleh perusahaan untuk pengguna jasa (pelanggan) untuk diproses menjadi sebuah laporan. Sistem Informasi ini dapat menangani masalah yang ada pada perusahaan dengan lebih cepat. Sistem ini akan memberikan  informasi yang cepat dan akurat kepada pegawai bengkel bus ada tidaknya bus yang perlu segera ditangani, kasir juga dengan mudah dalam menghitung gaji crew sesuai dengan pendapatan yang diperoleh serta inputan data keberangkatan bus, operasional tidak akan kerepotan dalam menentukan diterima atau tidaknya crew baru dan semua pengguna pelanggan bus dapat mengetahui tarif penumpang tanpa adanya manipulasi."
Perancangan Sistem Informasi Badan Kepegawaian Daerah ( BKD ) Bangkalan Sebagai Sub sistem dari E-Government Bangkalan Menggunakan TOGAF ADM ,MALIKUL HAMZAH,"Moch. Kautsar Sophan, S.Kom., M.MT.","Yeni Kustiyaningsih, S.Kom., M.Kom.","Kantor Badan Kepegawaian kota Bangkalan adalah instansi pemerintahan yang bergerak di bidang pelayanan kepegawaian. Untuk meningkatkan kualitas pelayanan maka perlu adanya sebuah sistem informasi yang mampu memonitoring dan membantu proses kinerja dari dinas tersebut. Oleh karena itu dalam penelitian  ini dibahas bagaimana menerapkan  Architecture Enterprise BKD Bangkalan dengan menggunakkan metode TOGAF ADM dan mengimplementa sikannya kedalam sebuah implementasi aplikasi Enterprise yang akan dibentuk menjadi satu keterpaduan dengan  E-government Bangkalan. TOGAF ADM memiliki empat komponen utama: arsitektur bisnis, arsitektur data, arsitektur teknologi dan arsitektur aplikasi. Intinya TOGAF digunakan untuk membuat Architecture Enterprise dari semua aspek tersebut. Dalam penelitian ini akan dibahas tentang perancangan sistem arsitektur Sistem informasi BKD Bangkalan sebagai sub-sistem dari E-government Bangkalan dengan menggunakan TOGAF ADM tujuannya agar dapat menghasilkan sistem aplikasi administrasi kantor Badan Kepegawaian Daerah  Bangkalan, membuat Blue Print, serta memperbaiki efisiensi, kenyamanan, serta aksesibilitas pelayanan terhadap publik agar  lebih baik. 

Kata Kunci: Arsitektur interprise, TOGAF ADM, Arsitektur bisnis, Arsitektur data, Arsitektur aplikasi, Arsitektur teknologi"
PEMANFAATAN TOGAF ADM UNTUK PERANCANGAN SISTEM INFORMASI DINAS PERINDUSTRIAN & PERDAGANGAN SEBAGAI SUB SISTEM ARSITEKTUR E-GOVERNMENT KABUPATEN BANGKALAN,Norman,"M. Kautsar Sophan, S.Kom., M. MT.","Yeni Kustiyahningsih S.Kom., M.Kom.","Penyusunan Sistem Informasi Dinas Perindustrian & Perdagangan (DISPERINDAG) Kabupaten Bangkalan dibuat untuk meningkatkan kualitas pelayanan dan membantu proses kinerja dari dinas tersebut. Salah satu faktor pendorong pemanfaatan sistem informasi yang lebih baik adalah semakin meningkatnya kebutuhan fungsi pelayanan yang dijalankan. Tujuan dari penerapan Arsitektur Enterprise adalah menciptakan keselarasan antara bisnis dan teknologi informasi bagi kebutuhan instansi, penerapan arsitektur enterprise tidak terlepas dari bagaimana sebuah instansi merencanakan dan merancang arsitektur enterprise tersebut. TOGAF ADM merupakan metodologi yang lengkap, banyak instansi yang tidak memahami secara jelas tentang tahapan â tahapan dari metodologi tersebut diterjemahkan ke dalam aktivitas perancangan Arsitektur Enterprise. Tahapan dalam perancangan Arsitektur Enterprise sangatlah penting dan akan berlanjut pada tahapan berikutnya yaitu rencana implementasi. TOGAF ADM memiliki empat komponen utama: arsitektur bisnis, arsitektur data, arsitektur teknologi dan arsitektur aplikasi. Pada intinya TOGAF digunakan untuk membuat Arsitektur Enterprise dari semua aspek tersebut yang menghasilkan model dan kerangka dasar dalam mengembangkan sistem informasi yang terintegrasi untuk mendukung kebutuhan Dinas Perindustrian & Perdagangan sesuai dengan Peraturan Bupati Bangkalan Nomor 38 Tahun 2010 Tentang Uraian Tugas Jabatan Struktural pada Dinas Perindustrian dan Perdagangan."
"SISTEM INFORMASI GEOGRAFIS PEMETAAN POTENSI OBJEK WISATA DI
KABUPATEN SUMENEP BERBASIS DEKSTOP DAN WEB",lu'luul maknun,"Aeri Rahmad,S.T,M.T",-,"Abstrak
Perkembangan teknologi di berbagai bidang sangat terasa perkembangannya, begitu juga
dengan bidang pariwisata. Kebutuhan informasi yang cepat dan mudah didapatkan oleh masyarakat
di berbagai bidang juga sangat terasa sekali peningkatannya, tidak terkecuali kebutuhan informasi di
bidang pariwisata. Peta konvensional seringkali menyulitkan pengguna karena kurang menyajikan
informasi secara spesifik dan diperlukan ketelitian agar dapat menemukan jalan dan tempat yang
akan dituju. Program sistem informasi geografis tempat wisata di kabupaten sumenep berbasiskan
web adalah sebuah sistem informasi yang bertujuan untuk membantu para pengunjung dan wisatawan
untuk dapat mengetahui rute, letak, dan informasi tempat wisata dan tempat pendukung lainnya di
kabupaten sumenep sehingga dapat mempersingkat waktu pencarian. Sistem informasi geografis
tempat wisata di kabupaten sumenep berbasiskan dekstop dan web ini memiliki beberapa kelebihan,
yaitu dapat diakses dimana saja dan kapan saja selama ada akses internet, dan penyampaian
informasi jelas karena dilengkapi dengan map atau peta dan rute
Kata Kunci: SIG, Pemetaan, Potensi Objek Wisata, Arcview"
SISTEM INFORMASI PSIKOTES BERBASIS DEKSTOP,Megawati Bukhori Putri,"Yeni Kustianingsih, S.Kom, M.Kom",-,"Abstrak
Perkembangan teknologi di berbagai bidang sangat terasa perkembangannya. Kebutuhan
informasi yang cepat dan mudah didapatkan oleh masyarakat di berbagai bidang juga sangat terasa
sekali peningkatannya, tidak terkecuali kebutuhan informasi di bidang potensi diri. Untuk mengatasi
masalah tersebut, dibuatlah program psikotes yang memungkinkan peserta tes melakukan tes secara
terkomputerisasi. Program ini dapat menginputkan soal yang bertipe satuan, pilihan ganda, dan soal
cerita. Psikotes berbasiskan web adalah sebuah sistem informasi yang bertujuan untuk membantu para
pengguna melakukan tes yang telah terkomputerisasi. Sistem informasi psikotes berbasiskan web ini
memiliki beberapa kelebihan, yaitu dapat diakses dimana saja dan kapan saja selama ada akses
internet, dan penyampaian informasi jelas. Psikotes dilakukan untuk mengukur tingkat inteligensi,
mental seseorang, menyelidiki dan menetapkan sifat-sifat psikis. Sukses tidaknya dalam
menyelesaikan tes psikotes tergantung sejauh mana kita dapat menyelesaikan masalah-masalah yang
diberikan secara cepat dan akurat. Dengan perkembangan teknologi informasi yang begitu pesat
disegala bidang khususnya perusahaan, institusi pendidikan maupun organisasi, maka penelitian ini
dibahas tentang pengembangan sistem tes psikotes. Dari pengembangan sistem yang dibuat, dapat
diambil kesimpulan bahwa sistem tes psikotes dengan menggunakan internet serta hasil tes psikotes
dapat diproses langsung sehingga pengguna dapat melihat secara langsung hasil tes psikotes tesebut,
sehingga hal ini sangat efektif dan efisien bagi pengguna

Kata Kunci: Tes Psikotes, Terkomputerisasi"
APLIKASI METODE FUZZY ANALYTIC NETWORK PROCESS (FANP) UNTUK MENDUKUNG KEPUTUSAN PROSES PROMOSI JABATAN DI PT. SURYA MADISTRINDO PAMEKASAN,"Robiatul Adawiyah, S.Kom","Diana Rahmawati, S.T, M.T","Budi Dwi Satoto, S.T, M.Kom","Perusahaan pemerintah maupun swasta mempunyai tujuan yang harus dicapai. Pencapaian tujuan perusahaan dapat dilakukan dengan pemanfaatan sumber daya yang dimiliki secara optimal, salah satu sumber daya tersebut adalah sumber daya manusia yang dimiliki oleh perusahaan. Sesuai dengan peraturan yang telah ditetapkan PT. Surya Madistrindo Pamekasan dalam melakukan proses promosi jabatan, maka diperlukan kriteria-kriteria seperti aspek kapasitas intelektual, aspek sikap kerja, dan aspek perilaku yang masing-masing mempunyai sub kriteria tersendiri. Metode yang digunakan adalah metode Fuzzy Analytic Network Process (FANP). Metode FANP sendiri digunakan untuk mencari bobot prioritas kepentingan dari seluruh kriteria dan sub kriteria yang telah ditetapkan dan sebagai proses perangkingan atas bobot kriteria masing-masing data karyawan. Pembobotan diperoleh dari hasil kuesioner yang dilakukan oleh pimpinan perusahaan. Proses perangkingan dilakukan dengan cara mengalikan nilai bobot dari kriteria ke tiap-tiap sub kriteria sehingga mampu menyeleksi karyawan yang berhak menduduki jabatan yang tersedia berdasarkan kriteria-kriteria yang ditentukan. Dari hasil uji coba dalam menyelesaikan studi kasus proses promosi jabatan karyawan menghasilkan nilai akurasi sebesar 80%.


Kata kunci 	: 	Sistem Pendukung Keputusan, Promosi Jabatan,  Fuzzy Analytic Network Process (FANP)"
"SISTEM PENDUKUNG KEPUTUSAN REKOMENDASI MENU DIET BAGI PASIEN RAWAT INAP MENGGUNAKAN METODE HARRIS BENEDICT DAN EUCLIDEAN (Studi Kasus : RSUD Dr. H. Moh. Anwar Sumenep)
",Desy Mariana S. Kom,"Haryanto ST, MT","Firli Irhamni ST, M. Kom","Pelayanan makanan bagi pasien rawat inap di Rumah Sakit mempunyai tujuan untuk memberikan menu diet yang sesuai dengan syarat gizi minimal dan sesuai dengan penyakit yang diderita pasien. 
Sampai saat ini menu yang disediakan pihak rumah sakit kurang memperhatikan kebutuhan kalori pasiennya per individu. Sehingga mengakibatkan penyediaan makanan kepada pasien tidak sesuai dengan kebutuhan kalori perhari dari pasien. Oleh karena itu dibuatlah sistem pendukung keputusan untuk rekomendasi menu diet pasien sebagai alat bantu dalam penyediaan menu makanan bagi pasien
Metode yang digunakan yaitu metode Harris Benedict untuk perhitungan total kalori pasien dan metode Euclidean untuk perankingannya, maka diharapkan aplikasi sistem pendukung keputusan yang dibuat ini mampu untuk merekomendasikan menu diet kepada pasien beserta penjelasan mengenai kebutuhan kalori perhari untuk asupan makanan perhari dan makanan yang harus dibatasi.

Kata kunci :  Sistem Pendukung Keputusan, Harris Benedict dan Euclidean"
RANCANG BANGUN APLIKASI PEMILIHAN TEKNIK REKAYASA KEBUTUHAN MENGGUNAKAN METODE SELF ORGANIZING MAP BERBASIS EUCLIDEAN DISTANCE DAN CANBERRA DISTANCE MATRIX,Lia Fransiska,"Firli Irhamni S.T, M.Kom","Budi Dwi Satoto S.T, M.Kom","Penyusunan Sistem Pendukung Keputusan pemilihan teknik rekayasa kebutuhan dibuat untuk membantu pengembang perangkat lunak dalam membangun sebuah proyek perangkat lunak. Pemilihan teknik rekayasa kebutuhan umumnya berdasarkan pada pilihan system dan analis yang bersangkutan daripada berdasarkan karakteristik teknik rekayasa kebutuhan yang sesuai pada proyek perangkat lunak tersebut. Untuk dapat menghasilkan perangkat lunak yang baik maka proses evaluasi dan pemilihan teknik rekayasa kebutuhan merupakan salah satu tahap yang sangat penting dalam sebuah proyek pengembangan perangkat lunak.
	Didalam SPK ini dilakukan proses pemilihan antara teknik rekayasa kebutuhan dan kriteria atribut project yang diinginkan oleh pengembang perangkat lunak. Selanjutnya dilakukan proses clustering menggunakan metode Self Organizing Map (SOM). Parameter yang digunakan dalam adalah distance matrix karena paling tepat digunakan untuk menangani data multi dimensional. Euclidean dan Canberra adalah jenis distance matrix yang lazim digunakan karena tingkat akurasinya yang baik untuk menangani kasus data riil.
Hasil akhir yang diperoleh yaitu membandingkan hasil clustering menggunakan metode SOM berbasis Euclidean Distance dan Canberra Distance matrix. Sehingga menghasilkan teknik rekayasa kebutuhan yang efisien, obyektif dan sesuai dengan karakteristik proyek perangkat lunak.
Kata Kunci : Sistem Pendukung Keputusan, Teknik Rekayasa Kebutuhan, Clustering, Self Organizing Map, Canberra Distance matrix"
DETEKSI COREPOINT SIDIK JARI MENGGUNAKAN METODE GEOMETRY OF REGION TECHNIQUE (GR),Erwina Safitri,"Dr. Indah Agustien, S.Kom., M.Kom","Fitri Damayanti, S.Kom., M.Kom","Sidik jari adalah salah satu karakteristik fisik manusia yang saat ini banyak digunakan untuk identifikasi manusia, karena sidik jari mempunyai karakteristik yang tidak dapat berubah kecuali jika luka atau rusak akibat kecelakaan. Sidik jari sangat diperlukan untuk berbagai kasus tindak kriminal, seperti pencurian, kecurangan administrasi. Sehingga adanya proses pendeteksian sidik jari dapat memudahkan pihak-pihak yang berwajib untuk menangani beberapa kasus tersebut. Proses pendeteksian ini di lakukan dalam program komputer dengan melakukan beberapa tahap perhitungan. Penentuan titik tengah atau yang biasa di kenal dengan Corepoint adalah sebuah proses awal yang sangat berperan penting dalam proses identifikasi manusia. Terdapat dua cara untuk menentukan Corepoint atau titik tengah sidik jari yaitu secara manual dan otomatis. Secara manual dapat di lakukan dengan kasat mata. sedangkan secara otomatis dapat di tentukan dengan menggunakan suatu sistem. Pada Tugas Akhir ini untuk menentukan Corepoint sidik jari secara otomatis digunakan metode Geometry Of Region Technique (GR).Citra yang digunakan pada Tugas Akhir diperoleh dari âdatabase FVC-2002 fingerprint-bitmapsâ. Hasil uji coba sistem yang terbaik untuk deteksi Corepoint sidik jari menggunakan metode Geometry Of Region Technique (GR) dengan M0=50 dan V0=50 pada proses normalisasi dan menggunakan ukuran blok 3 x 3 pixel. Hasil akurasi sistem yang didapatkan sebesar 70%.
Kata Kunci : Sidik jari, Corepoint, Geometry Of Region Technique (GR), Normalisasi"
"SISTEM PENENTUAN STATUS GIZI PASIEN RAWAT INAP
MENGGUNAKAN METODE NAÃVE BAYES CLASSIFIER
(STUDI KASUS : RSUD DR. H. SLAMET
MARTODIRDJO PAMEKASAN)",Nur Anggraeni,"Diana Rahmawati, ST.M.T","Firli Irhamni, ST.M.Kom","Di Indonesia masalah perkembangan gizi adalah masalah yang
perlu perhatian lebih. Jika seseorang tidak mengetahui tentang status
gizinya, maka tidak akan dapat mengontrol berapa banyak jumlah gizi
yang dibutuhkan dalam tubuh. Dalam penelitian ini dirancang aplikasi
sistem pendukung keputusan yang digunakan untuk menentukan status
gizi pasien dan memberikan solusi makanan pada pasien sesuai riwayat
penyakit yang di derita pasien. Sistem yang dirancang ini berbasis Web,
dan memudahkan pihak admin atau ahli gizi rumah sakit dalam
penentuan status gizi pasien. Diharapkan dengan adanya aplikasi ini
dapat memberikan efisien dan efektifitas kinerja setiap pihak.
Metode yang digunakan dalam penelitian ini menggunakan
NaÃ¯ve Bayes Classifier (NBC). Metode terbaru yang di gunakan untuk
memprediksi probabilitas.Metode NaÃ¯ve bayes Classifier melakukan
proses penentuan perhitungan probabilitas status gizi. Dimana dicari
nilai probabilitas terbesar yang kemudian menjadi kesimpulan
penentuan status gizi.
Metode ini dapat diterapkan dalam studi kasus Sistem
Penentuan Status Gizi Pasien dengan hasil akurasi terbesar 92%.
Kata Kunci : NaÃ¯ve Bayes Classifier, Sistem Pendukung Keputusan,
Status Gizi, Web"
"PENGENALAN TULISAN TANGAN HURUF ALFABET
DENGAN METODE MODIFIED DIRECTION FEATURE (MDF)
DAN LEARNING VECTOR QUANTIZATION (LVQ)",Hilyati Safitri,"Fitri Damayanti S.Kom., M.Kom","Kurniawan Eka Permana S.Kom., M.Sc.","Pengenalan tulisan tangan merupakan topik penelitian yang sangat populer saat ini. Para peneliti telah banyak melakukan usaha-usaha untuk membuat sistem pengenalan tulisan tangan otomatis dengan berbagai teknik yang berbeda. Penelitian ini membahas pengembangan sistem pengenalan tulisan tangan offline yang menggunakan pencirian lokal dari karakter-karakter tulisan tangan. Salah satu faktor penentu dalam pengenalan tulisan tangan adalah model atau bentuk tulisan tangan dari penulis yang mampu dikenali. Tiap penulis pasti memiliki gaya menulis atau bentuk tulisan tangan yang berbeda. Metode yang digunakan untuk pengenalan pola tulisan tangan pada penelitian ini adalah Modified Direction Feature (MDF) untuk proses ekstraksi fitur dan Learning Vector Quantization (LVQ) untuk proses klasifikasi. Proses ekstraksi fitur pada metode MDF dilakukan dengan cara penentuan arah garis dan posisi  dari tiap-tiap piksel. Sedangkan untuk proses pelatihan data menggunakan  metode Learning Vector Quantization (LVQ), metode ini akan menghasilkan bobot yang akan digunakan untuk proses pengenalan citra huruf tulisan tangan. Dari uji coba yang dilakukan pada sistem, hasil terbaik untuk pengenalan citra huruf tulisan tangan diperoleh dengan jumlah data pelatihan sebanyak 260 citra dan data uji coba sebanyak 52 citra. Hasil akurasi sistem yang didapatkan sebesar 71,15 %.

Kata Kunci: Tulisan Tangan, Modified Direction Feature, Learning Vector Quantization"
PENGENALAN POLA SENYUMAN BERBASIS EKSTRAKSI FITUR PRINCIPAL COMPONENT ANALYSIS (PCA) DAN LINIER DESCRIMINANT ANALYSIS (LDA),SITI KHOLILAH,"RIMA TRI WAHYUNINGRUM, S.T., M.T","HARYANTO, S.T., M.T","Citra senyum merupakan salah satu fitur biometrik yang dapat dijadikan sebagai bukti autentik dari seseorang. Sistem pengenalan pola (pattern recognition) secara komputerisasi, akan mengetahui identitas atau ciri diri seseorang. Pengenalan senyum telah banyak diteliti oleh banyak kalangan. Salah satu bentuk penerapan pengenalan pola senyum ini adalah mengetahui senyum seseorang sehingga nantinya senyum tersebut dapat dikenali oleh komputer dan disimpan dalam database. Terdapat dua cara untuk menentukan pola senyuman yaitu secara manual dan otomatis. Secara manual dapat dilakukan dengan kasat mata, sedangkan secara otomatis dapat di tentukan dengan menggunakan suatu sistem. Pada  Tugas Akhir ini, mengidentifikasi senyuman secara otomatis digunakan metode Principal Component Analysis (PCA) dan Linier Descriminant Analysis (LDA), dimana jenis senyuman pada tugas akhir ini dibagi menjadi lima bagian, yaitu senyum manis, senyum mengejek, senyum yang dipaksakan, senyum tertutup dan senyum terbuka. Penggunaan metode ekstraksi fitur  yang tepat dan efisien  sangat menentukan keberhasilan dari sistem pengenalan pola secara keseluruhan. Untuk metode klasifikasi pengenalan pola menggunakan Euclidean Distance atau Manhattan Distance. Dari hasil uji coba menggunakan 175 gambar data pelatihan didapatkan tingkat akurasi PCA adalah 89.8% pada ordered3. Sedangkan hasil uji coba menggunakan PCA & LDA didapatkan tingkat akurasi 100% pada ordered3."
"SISTEM PEROLEHAN CITRA BERBASIS ISI MENGGUNAKAN
GRAY LEVEL DIFFERENCE METHOD BERDASARKAN
CIRI TEKSTUR PADA POLA BATIK
",Nansy Lovitasari,"Fitri Damayanti, S.Kom., M.Kom","Rima Tri Wahyuningrum, S.T., M.T","Batik adalah kerajinan yang memiliki nilai seni tinggi dan telah menjadi bagian dari budaya Indonesia sejak lama. Batik di Indonesia mempunyai beragam jenis tekstur batik, warna batik, dan pola batik yang mencerminkan asal usul daerah dari batik tersebut. Saat ini pencarian citra berbasis teks sudah tidak efektif lagi karena adanya penilaian subjektif dari pengguna dalam merepresentasikan suatu citra. Karena itu diperlukan suatu sistem yang dapat menangani pencarian citra menggunakan query berupa citra atau disebut Sistem Perolehan Citra berbasis Isi (SPCI) atau Content Based Image Retrieval (CBIR). Penelitian  ini menggunakan ciri tekstur sebagai proses pencarian kemiripan dari delapan kelas citra batik yang  berbeda yaitu: Cirebon, Bali, Bangkalan, Pamekasan, Sumenep, Yogyakarta, Solo, dan Pekalongan sebagai objek perolehan citra berbasis isi. Sistem dibangun dengan proses utamanya yaitu ekstraksi fitur tekstur dengan menggunakan metode Gray Level Difference Method (GLDM) menggunakan empat arah utama. GLDM menghitung perbedaan mutlak antara sepasang derajat keabuan yang terpisah oleh jarak dan arah tertentu. Hasil ekstraksi fitur dilakukan pengukuran jarak kemiripan menggunakan metode Euclidean Distance. Dari uji coba aplikasi menggunakan pengukuran kemiripan Euclidean Distance dengan nilai threshold=7 diperoleh akurasi presisi sebesar  61%  pada data pelatihan 168 dan data uji coba 32 dengan 10 citra yang ditampilkan."
Perancangan Dan Pembuatan Sistem Informasi Manajemen Data Dana Keuangan Di SMA PGRI 2 BANGKALAN Berbasis SMS Gateway,Andika Syarifuddin Parmana Putra,"Sri Herawati,S.Kom","Sri Herawati,S.Kom","Abstrak

Sistem Informasi Manajemen Data Dana Keuangan Berbasis SMS Gateway adalah suatu sistem sistem informasi yang menyediakan mekanisme untuk menghantar dan menerima SMS dari peralatan mobile (HP, PDA phone, dll). Dalam sistem ini akan dibahas beberapa pokok penting diantaranya, pengolahan data dana keuangan administrasi, pengelolahan dana keuangan BP3, pengelolahan distribusi dana gaji guru/pegawai. 

Sistem ini akan menggunakan tekhnologi sms gateway yang mana sangat banyak diminati dan digunakan oleh banyak kalangan masyarakat. Selain karena unggul dari segi kepraktisan dan kemudahan dalam penggunaannya, teknologi ini juga hadir dengan tarif yang relatif lebih murah, lebih efisien serta inovatif media pengiriman data pesan atau transfer informasi dalam kapasitas kecil apabila dibandingkan dengan layanan suara. Tujuan dari sistem ini adalah bagaimana memanajemen keuangan dengan baik dan cepat cara penyampaian informasi kepada user/pegawai yang membutuhkan.

Kata Kunci : Sistem Pengelolaan Data Dana Keuangan,Sistem Informasi"
OPTIMASI PEMILIHAN PORTOFOLIO SAHAM PERUSAHAAN SEKTOR TAMBANG DENGAN MENGGUNAKAN GOAL PROGRAMMING,Siliwangi Fitra Rachmawanto S.T.,"Heri Awalul Ilhamsah S.T., M.T.","Retno Indriartiningtias S.T., M.T.","Portofolio adalah sekumpulan saham yang dimiliki investor. Dalam setiap saham pada portofolio memiliki resiko yang harus diminimalkan dengan cara diversifikasi yaitu dengan mengalokasikan dana pada berbagai alternatif investasi pada kombinasi saham pada portofolio. Pada skripsi ini, saham yang digunakan berupa saham dari perusahan sektor tambang yang terdapat 4 subsektor didalamnya yaitu subsektor Batubara, subsektor batu-batuan, subsektor logam dan mineral lainnya, dan subsektor minyak dan gas bumi. Dari setiap subsektor tersebut terbentuk beberapa portofolio yang kemudian dilakukan optimasi dalam pemilihannya. Pada skripsi ini menggunakan goal programming untuk meminimalkan penyimpangan antara fungsi objektif dengan nilai ideal fungsi objektif yang menghasilkan proporsi dana yang harus diinvestasikan pada masing-masing saham. Hasil yang diperoleh dari goal programming pada setiap subsektor yaitu : subsektor batubara terdapat 4 portofolio efisien, subsektor batu-batuan terdapat 2 portofolio efisien, subsektor logam dan mineral lainnya terdapat 3 portofolio efisien dan subsektor minyak dan gas bumi terdapat 4 portofolio efisien serta proporsi dana yang harus diinvestasikan pada portofolio-portofolio pada setiap subsektor tersebut. Kata Kunci : Goal programming, Portofolio, Expected return, Resiko, Proporsi dana."
